cod_municipio_ibge,NO_MUNICIPIO_RESIDENCIA,UF,mean_grades_group_cities
1400100,Boa Vista,RR,497.43053854007144
1400159,Bonfim,RR,452.2392857142857
1400175,Cantá,RR,480.12568493150684
1400209,Caracaraí,RR,469.03802816901407
1400233,Caroebe,RR,460.29255319148933
1400282,Iracema,RR,474.6546296296296
1400308,Mucajaí,RR,465.106640625
1400407,Normandia,RR,470.4357142857143
1400456,Pacaraima,RR,487.2439024390244
1400472,Rorainópolis,RR,477.2224867724868
1400506,São João da Baliza,RR,457.2141304347826
1400605,São Luiz,RR,463.780701754386
1400704,Uiramutã,RR,496.46666666666664
1500107,Abaetetuba,PA,473.25953008987887
1500131,Abel Figueiredo,PA,455.72302631578947
1500206,Acará,PA,458.82606149341143
1500305,Afuá,PA,460.1953125
1500347,Água Azul do Norte,PA,460.23535714285714
1500404,Alenquer,PA,458.2245945945946
1500503,Almeirim,PA,467.85039603960394
1500602,Altamira,PA,478.38611312108054
1500701,Anajás,PA,451.59090909090907
1500800,Ananindeua,PA,495.07922088101583
1500859,Anapu,PA,447.9186991869919
1500909,Augusto Corrêa,PA,462.43560747663554
1500958,Aurora do Pará,PA,456.62895683453235
1501006,Aveiro,PA,451.96294642857146
1501105,Bagre,PA,445.0848712446352
1501204,Baião,PA,452.25754017305314
1501253,Bannach,PA,455.37386363636364
1501303,Barcarena,PA,480.970458148383
1501402,Belém,PA,500.07611660489766
1501451,Belterra,PA,463.6934438040346
1501501,Benevides,PA,484.5448923166473
1501576,Bom Jesus do Tocantins,PA,465.05874233128833
1501600,Bonito,PA,460.44663212435233
1501709,Bragança,PA,473.7691713925646
1501725,Brasil Novo,PA,472.54303797468356
1501758,Brejo Grande do Araguaia,PA,464.8466666666667
1501782,Breu Branco,PA,457.2184375
1501808,Breves,PA,464.85490369181383
1501907,Bujaru,PA,457.84981857764876
1501956,Cachoeira do Piriá,PA,467.4563186813187
1502004,Cachoeira do Arari,PA,444.7387372013652
1502103,Cametá,PA,467.7780399777901
1502152,Canaã dos Carajás,PA,491.5408667972576
1502202,Capanema,PA,479.5127186406797
1502301,Capitão Poço,PA,470.4233669354839
1502400,Castanhal,PA,498.07519895186334
1502509,Chaves,PA,450.7291666666667
1502608,Colares,PA,456.4962923728814
1502707,Conceição do Araguaia,PA,465.3056736609608
1502756,Concórdia do Pará,PA,460.3586650082919
1502764,Cumaru do Norte,PA,446.85991379310343
1502772,Curionópolis,PA,463.1846551724138
1502806,Curralinho,PA,447.83009615384617
1502855,Curuá,PA,449.16923076923075
1502905,Curuçá,PA,463.8697869955157
1502939,Dom Eliseu,PA,474.69404239766084
1502954,Eldorado do Carajás,PA,463.16834365325076
1503002,Faro,PA,463.9720297029703
1503044,Floresta do Araguaia,PA,454.26254325259515
1503077,Garrafão do Norte,PA,468.8433794466403
1503093,Goianésia do Pará,PA,465.7823349633252
1503101,Gurupá,PA,453.23994845360824
1503200,Igarapé-Açu,PA,469.90107709750566
1503309,Igarapé-Miri,PA,457.3832089552239
1503408,Inhangapi,PA,473.4672018348624
1503457,Ipixuna do Pará,PA,465.77879939209726
1503507,Irituia,PA,459.5509310986965
1503606,Itaituba,PA,477.371928665786
1503705,Itupiranga,PA,458.6342867231638
1503754,Jacareacanga,PA,441.85925925925926
1503804,Jacundá,PA,467.31760700389106
1503903,Juruti,PA,464.2220215462611
1504000,Limoeiro do Ajuru,PA,454.69255514705884
1504059,Mãe do Rio,PA,465.56961738002593
1504109,Magalhães Barata,PA,465.680787037037
1504208,Marabá,PA,481.8228143021915
1504307,Maracanã,PA,459.9299145299145
1504406,Marapanim,PA,459.1878277153558
1504422,Marituba,PA,483.2454364447276
1504455,Medicilândia,PA,462.6091498559078
1504505,Melgaço,PA,444.0623484848485
1504604,Mocajuba,PA,454.25912435614424
1504703,Moju,PA,458.66265342960287
1504752,Mojuí dos Campos,PA,465.721408045977
1504802,Monte Alegre,PA,457.713696369637
1504901,Muaná,PA,463.19820675105484
1504950,Nova Esperança do Piriá,PA,461.10376213592235
1504976,Nova Ipixuna,PA,479.28333333333336
1505007,Nova Timboteua,PA,472.22912946428573
1505031,Novo Progresso,PA,476.33267326732675
1505064,Novo Repartimento,PA,467.76734608985026
1505106,Óbidos,PA,464.17
1505205,Oeiras do Pará,PA,452.8704802259887
1505304,Oriximiná,PA,470.0270920502092
1505403,Ourém,PA,464.2316753926702
1505437,Ourilândia do Norte,PA,488.09736842105264
1505486,Pacajá,PA,462.4880258899676
1505494,Palestina do Pará,PA,451.0445
1505502,Paragominas,PA,484.0207676348548
1505536,Parauapebas,PA,483.384798308966
1505551,Pau D'Arco,PA,452.741592920354
1505601,Peixe-Boi,PA,473.78403846153844
1505635,Piçarra,PA,447.9693359375
1505650,Placas,PA,461.4678846153846
1505700,Ponta de Pedras,PA,465.7794289044289
1505809,Portel,PA,455.6540455426357
1505908,Porto de Moz,PA,463.6638535031847
1506005,Prainha,PA,439.1080985915493
1506104,Primavera,PA,469.42528735632186
1506112,Quatipuru,PA,469.11062992125983
1506138,Redenção,PA,471.179609929078
1506161,Rio Maria,PA,457.11884615384616
1506187,Rondon do Pará,PA,469.8335467349552
1506195,Rurópolis,PA,467.6053191489362
1506203,Salinópolis,PA,474.4505480167015
1506302,Salvaterra,PA,463.50670314637483
1506351,Santa Bárbara do Pará,PA,468.66622340425533
1506401,Santa Cruz do Arari,PA,442.4246428571429
1506500,Santa Izabel do Pará,PA,483.9469220246238
1506559,Santa Luzia do Pará,PA,464.6049668874172
1506583,Santa Maria das Barreiras,PA,453.3601648351648
1506609,Santa Maria do Pará,PA,477.3770077720207
1506708,Santana do Araguaia,PA,456.77856265356263
1506807,Santarém,PA,485.15508569459996
1506906,Santarém Novo,PA,462.4366788321168
1507003,Santo Antônio do Tauá,PA,466.8215618860511
1507102,São Caetano de Odivelas,PA,455.94370437956206
