"","cod_municipio_ibge","municipio","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"5039",3168507,"Teixeiras",0,0,791,0,0,0,0,310,0,0,0,0,0,0,0
"5040",3168606,"Teófilo Otoni",0,0,0,0,0,0,0,6814,0,0,0,0,0,4,0
"5041",3168705,"Timóteo",0,0,0,0,0,0,0,3409,0,14,7,0,1,1,0
"5042",3168804,"Tiradentes",0,0,4,0,19,0,0,0,0,0,1,0,0,0,0
"5043",3169059,"Tocos do Moji",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
"5044",3169109,"Toledo",0,0,0,0,0,0,0,20,0,2,0,0,0,0,0
"5045",3169208,"Tombos",0,0,491,0,0,0,0,86,0,0,1,0,0,0,0
"5046",3169356,"Três Marias",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"5047",3169406,"Três Pontas",0,0,9,0,0,0,0,769,0,6,0,0,0,1,0
"5048",3169505,"Tumiritinga",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5049",3169604,"Tupaciguara",0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
"5050",3169703,"Turmalina",0,0,27,0,0,0,0,0,0,42,0,0,0,0,0
"5051",3555307,"Turmalina",0,0,0,0,0,0,0,61,0,0,5,0,0,0,0
"5052",3169802,"Turvolândia",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"5053",3170008,"Ubaí",6,0,1,0,0,0,0,25,0,5,0,0,0,0,0
"5054",3170305,"Umburatiba",6,0,1,0,0,0,0,45,0,4,0,0,0,0,0
"5055",3170404,"Unaí",0,0,7,0,0,0,0,1810,0,29,4,0,0,1,0
"5056",3170479,"Uruana de Minas",0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"5057",3170503,"Urucânia",0,61,0,0,0,0,0,35,0,20,0,0,0,1,0
"5058",3170529,"Urucuia",2,1,0,0,0,0,0,18,0,1,0,0,0,0,0
"5059",3170578,"Vargem Alegre",0,0,2,0,0,0,0,47,0,2,0,0,0,0,0
"5060",3170602,"Vargem Bonita",0,0,5,0,0,0,0,17,0,2,0,0,0,0,0
"5061",3170651,"Vargem Grande do Rio Pardo",0,0,0,0,6,0,0,13,0,3,0,0,0,0,0
"5062",3170701,"Varginha",0,0,0,0,0,1,0,0,0,66,29,0,2918,0,0
"5063",3170750,"Varjão de Minas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5064",3170800,"Várzea da Palma",0,0,0,0,0,0,0,877,0,3,0,0,0,0,0
"5065",3170909,"Varzelândia",0,0,4,0,0,0,0,49,0,16,0,0,0,0,0
"5066",3171006,"Vazante",0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
"5067",3171030,"Verdelândia",5,0,0,0,0,0,0,12,0,4,0,0,0,0,0
"5068",3171071,"Veredinha",0,0,1,0,0,0,0,7,0,1,0,0,0,0,0
"5069",3171105,"Veríssimo",0,84,2,0,0,0,0,14,0,6,0,0,0,0,0
"5070",3171154,"Vermelho Novo",0,0,3,0,0,0,0,15,0,2,0,0,0,0,0
"5071",3171402,"Vieiras",146,32,5,0,0,0,0,26,0,3,0,0,0,0,0
"5072",3171501,"Mathias Lobato",0,0,1,0,5,0,0,27,0,0,0,0,1,0,0
"5073",3171600,"Virgem da Lapa",234,221,0,0,0,0,0,67,0,0,1,0,0,0,0
