"cod_mun","municipio","uf","pib","pib_p_capta"
1300839,"Caapiranga                                                                                                                      ","AM ",169202385,12934.97
1300904,"Canutama                                                                                                                        ","AM ",125866946,8053.42
1301001,"Carauari                                                                                                                        ","AM ",337837964,11940.27
1301100,"Careiro                                  Região Metropolitana de Manaus                                                         ","AM ",329005863,8688
1301159,"Careiro da Várzea                        Região Metropolitana de Manaus                                                         ","AM ",314130788,10393.08
1301209,"Coari                                                                                                                           ","AM ",2212267188,25997.01
1301308,"Codajás                                                                                                                         ","AM ",504601084,17620.6
1301407,"Eirunepé                                                                                                                        ","AM ",481801009,13659.2
1301506,"Envira                                                                                                                          ","AM ",172573187,8614.45
1301605,"Fonte Boa                                                                                                                       ","AM ",187110873,10625.87
1301654,"Guajará                                                                                                                         ","AM ",132612980,7951.37
1301704,"Humaitá                                                                                                                         ","AM ",698420782,12680.12
1301803,"Ipixuna                                                                                                                         ","AM ",173478785,5843.2
1301852,"Iranduba                                 Região Metropolitana de Manaus                                                         ","AM ",664199920,13752.69
1301902,"Itacoatiara                              Região Metropolitana de Manaus                                                         ","AM ",2034551112,20077.08
1301951,"Itamarati                                                                                                                       ","AM ",102297688,13029.89
1302009,"Itapiranga                               Região Metropolitana de Manaus                                                         ","AM ",129557213,14162.35
1302108,"Japurá                                                                                                                          ","AM ",64129629,23277.54
1302207,"Juruá                                                                                                                           ","AM ",116498516,7918.6
1302306,"Jutaí                                                                                                                           ","AM ",227757139,15908.16
1302405,"Lábrea                                                                                                                          ","AM ",506493610,10994.24
1302504,"Manacapuru                               Região Metropolitana de Manaus                                                         ","AM ",1451149713,14902.39
1302553,"Manaquiri                                Região Metropolitana de Manaus                                                         ","AM ",262443967,8174.55
1302603,"Manaus                                   Região Metropolitana de Manaus                                                         ","AM ",84867423375,38880.73
1302702,"Manicoré                                                                                                                        ","AM ",543050642,9740.64
1302801,"Maraã                                                                                                                           ","AM ",138678081,7609.64
1302900,"Maués                                                                                                                           ","AM ",541699682,8476.64
