"municipios","idhm"
"Morro da Fumaça (SC)",0.738
"Dourado (SP)",0.738
"Santa Isabel (SP)",0.738
"Itatiaia (RJ)",0.737
"Guaraci (SP)",0.737
"Guarani das Missões (RS)",0.737
"Braúna (SP)",0.737
"Uruaçu (GO)",0.737
"Parapuã (SP)",0.737
"Cumari (GO)",0.737
"Manaus (AM)",0.737
"Tangará (SC)",0.737
"Cubatão (SP)",0.737
"Palmitos (SC)",0.737
"Roseira (SP)",0.737
"Vargem Grande do Sul (SP)",0.737
"Vera Cruz (RS)",0.737
"Ribeirão Vermelho (MG)",0.737
"Pindorama (SP)",0.737
"Ibirama (SC)",0.737
"Mesquita (RJ)",0.737
"Luiz Alves (SC)",0.737
"Santa Gertrudes (SP)",0.737
"Santa Lúcia (SP)",0.737
"Anápolis (GO)",0.737
"Presidente Nereu (SC)",0.737
"Piumhi (MG)",0.737
"Palmeira das Missões (RS)",0.737
"Vale Real (RS)",0.737
"Charqueada (SP)",0.736
"Gravataí (RS)",0.736
"Turmalina (SP)",0.736
"Sanclerlândia (GO)",0.736
"São Borja (RS)",0.736
"Camargo (RS)",0.736
"Atalaia (PR)",0.736
"Floresta (PR)",0.736
"Mendes (RJ)",0.736
"Conchas (SP)",0.736
"Iepê (SP)",0.736
"Ipira (SC)",0.736
"Grão Pará (SC)",0.736
"São Gotardo (MG)",0.736
"Maracaju (MS)",0.736
"Navegantes (SC)",0.736
"Pereiras (SP)",0.736
"Porto Velho (RO)",0.736
"Unaí (MG)",0.736
"Pariquera-Açu (SP)",0.736
"Nova Itaberaba (SC)",0.736
"Bom Jesus da Penha (MG)",0.735
"Santa Rita do Trivelato (MT)",0.735
"Nova Independência (SP)",0.735
"Valentim Gentil (SP)",0.735
"Presidente Alves (SP)",0.735
"Porto Rico (PR)",0.735
"Santa Branca (SP)",0.735
"Itapevi (SP)",0.735
"Lauro Muller (SC)",0.735
"Embu (SP)",0.735
"Olinda (PE)",0.735
"Marialva (PR)",0.735
"Tabapuã (SP)",0.735
"Aspásia (SP)",0.735
"São Mateus (ES)",0.735
"Jaciara (MT)",0.735
"Nova Esperança do Sul (RS)",0.735
"Caçador (SC)",0.735
"Buritizal (SP)",0.735
"Cabo Frio (RJ)",0.735
"Jardinópolis (SP)",0.735
"Xangri-Lá (RS)",0.735
"Glicério (SP)",0.735
"Alto Feliz (RS)",0.734
"Pontal do Araguaia (MT)",0.734
"Sarzedo (MG)",0.734
"Bom Jesus do Norte (ES)",0.734
"São Pedro de Alcântara (SC)",0.734
"Divinolândia (SP)",0.734
"Barra do Guarita (RS)",0.734
"Andradas (MG)",0.734
"Cássia dos Coqueiros (SP)",0.734
"Morrinhos (GO)",0.734
"Barroso (MG)",0.734
"Muriaé (MG)",0.734
"Cristais Paulista (SP)",0.734
"Rincão (SP)",0.734
"Campo Novo do Parecis (MT)",0.734
"Cambé (PR)",0.734
"Bernardino de Campos (SP)",0.734
"Cajobi (SP)",0.734
"Telêmaco Borba (PR)",0.734
"Várzea Grande (MT)",0.734
"Renascença (PR)",0.733
"Montividiu (GO)",0.733
"Jarinu (SP)",0.733
"Taquari (RS)",0.733
"Iacri (SP)",0.733
"Triunfo (RS)",0.733
"Lucianópolis (SP)",0.733
"Colombo (PR)",0.733
"Bananal (SP)",0.733
"Macapá (AP)",0.733
"Aurora (SC)",0.733
"Ariranha (SP)",0.733
"Santa Clara D'Oeste (SP)",0.733
"Barra do Piraí (RJ)",0.733
"Pradópolis (SP)",0.733
"Protásio Alves (RS)",0.733
"Monte Mor (SP)",0.733
"Carmo do Rio Claro (MG)",0.733
"Caldas Novas (GO)",0.733
"Atalanta (SC)",0.733
"Arabutã (SC)",0.733
"Nova Aurora (PR)",0.733
"Arraial do Cabo (RJ)",0.733
"União da Serra (RS)",0.733
"Gentil (RS)",0.733
"Céu Azul (PR)",0.732
"Paulista (PE)",0.732
"São Jorge (RS)",0.732
"Flórida (PR)",0.732
"Pontes Gestal (SP)",0.732
"Salesópolis (SP)",0.732
"Urutaí (GO)",0.732
"Itapeva (SP)",0.732
"Firminópolis (GO)",0.732
"Extrema (MG)",0.732
"Quintana (SP)",0.732
"Rodeio Bonito (RS)",0.732
"Bom Jesus do Itabapoana (RJ)",0.732
"Chiapetta (RS)",0.732
"Aragarças (GO)",0.732
"Palestina (SP)",0.732
"Piacatu (SP)",0.732
"Paranapuã (SP)",0.732
"Santo Expedito (SP)",0.732
"Jaborá (SC)",0.732
"Sacramento (MG)",0.732
"Engenheiro Coelho (SP)",0.732
"Pedro Afonso (TO)",0.732
"Guarani D'Oeste (SP)",0.732
"Lagoa da Prata (MG)",0.732
"Fartura (SP)",0.732
"Santo Expedito do Sul (RS)",0.732
"Sapezal (MT)",0.732
"Goioerê (PR)",0.731
"Castilho (SP)",0.731
"Guarapuava (PR)",0.731
"Vilhena (RO)",0.731
"São José do Cedro (SC)",0.731
"Meridiano (SP)",0.731
"Relvado (RS)",0.731
"Tambaú (SP)",0.731
"Soledade (RS)",0.731
"Rio Quente (GO)",0.731
"Fraiburgo (SC)",0.731
"Nova Santa Rosa (PR)",0.731
"Franco da Rocha (SP)",0.731
"Marinópolis (SP)",0.731
"Luís Antônio (SP)",0.731
"Guararema (SP)",0.731
"Sabará (MG)",0.731
"Imperatriz (MA)",0.731
"São Bonifácio (SC)",0.731
"Três Pontas (MG)",0.731
"Tamboara (PR)",0.731
"Guarapari (ES)",0.731
"Pirapora (MG)",0.731
"São Luís de Montes Belos (GO)",0.731
"Boa Vista do Incra (RS)",0.731
"Itapejara D'Oeste (PR)",0.731
"Grupiara (MG)",0.731
"Matozinhos (MG)",0.731
"Frutal (MG)",0.73
"Bertioga (SP)",0.73
"Teresópolis (RJ)",0.73
"Anchieta (ES)",0.73
"Ivaiporã (PR)",0.73
"Raposos (MG)",0.73
"Sagres (SP)",0.73
"Óleo (SP)",0.73
"Itabirito (MG)",0.73
"Guaíba (RS)",0.73
"Guarujá do Sul (SC)",0.73
"Palmelo (GO)",0.73
"Engenheiro Beltrão (PR)",0.73
"Caçu (GO)",0.73
"Itajobi (SP)",0.73
"Itaperuna (RJ)",0.73
"Ipiguá (SP)",0.73
"Natividade (RJ)",0.73
"Tupãssi (PR)",0.73
"Mineiros do Tietê (SP)",0.73
"Borda da Mata (MG)",0.73
"Colorado (PR)",0.73
"Ilópolis (RS)",0.73
"Casa Branca (SP)",0.73
"Embaúba (SP)",0.73
"Adolfo (SP)",0.73
"Patrocínio Paulista (SP)",0.73
"Altinópolis (SP)",0.73
"Mariano Moro (RS)",0.73
"Borborema (SP)",0.73
"Quilombo (SC)",0.73
"Salto de Pirapora (SP)",0.729
"Serrana (SP)",0.729
"São Gabriel do Oeste (MS)",0.729
"Iconha (ES)",0.729
"Rio Bom (PR)",0.729
"Assis Chateaubriand (PR)",0.729
"Cidreira (RS)",0.729
"Pratápolis (MG)",0.729
"Tangará da Serra (MT)",0.729
"Água Boa (MT)",0.729
"Barra Mansa (RJ)",0.729
"Laranjal Paulista (SP)",0.729
"São José da Lapa (MG)",0.729
"Rio dos Cedros (SC)",0.729
"Socorro (SP)",0.729
"Pedrinópolis (MG)",0.729
"Conquista (MG)",0.729
"Caiabu (SP)",0.729
"Paraisópolis (MG)",0.729
"Zacarias (SP)",0.729
"Lavrinhas (SP)",0.729
"Diorama (GO)",0.729
"Cerqueira César (SP)",0.729
"Cordeiro (RJ)",0.729
"Rio do Campo (SC)",0.729
"Patrocínio (MG)",0.729
"Roca Sales (RS)",0.729
"Chavantes (SP)",0.729
"Treze de Maio (SC)",0.729
"Cajamar (SP)",0.728
"Venda Nova do Imigrante (ES)",0.728
"Santa Albertina (SP)",0.728
"Pains (MG)",0.728
"Pedras Grandes (SC)",0.728
"Cândido Godói (RS)",0.728
"Armação dos Búzios (RJ)",0.728
"Assaí (PR)",0.728
"Sabino (SP)",0.728
"Monte Carmelo (MG)",0.728
"Caeté (MG)",0.728
"Ipê (RS)",0.728
"Reginópolis (SP)",0.728
"Tuiuti (SP)",0.728
"Carambeí (PR)",0.728
"Terra Boa (PR)",0.728
"Balneário Gaivota (SC)",0.728
"Tuparendi (RS)",0.728
"São Lourenço da Serra (SP)",0.728
"Caibi (SC)",0.728
"Santa Cruz das Palmeiras (SP)",0.728
"Sombrio (SC)",0.728
"Álvares Florence (SP)",0.728
"Santiago do Sul (SC)",0.728
"Boa Vista do Sul (RS)",0.728
"Guaimbê (SP)",0.728
"Mato Castelhano (RS)",0.727
"São João (PR)",0.727
"Rio Branco (AC)",0.727
"Coronel Pilar (RS)",0.727
"Santa Helena (SC)",0.727
"Pardinho (SP)",0.727
"Igaraçu do Tietê (SP)",0.727
"Ipaussu (SP)",0.727
"Areado (MG)",0.727
"Rialma (GO)",0.727
"Cachoeira de Goiás (GO)",0.727
"Governador Valadares (MG)",0.727
"Piúma (ES)",0.727
"Ubirajara (SP)",0.727
"Porangatu (GO)",0.727
"Ipiranga do Norte (MT)",0.727
"Itutinga (MG)",0.727
"Cassilândia (MS)",0.727
"Taquara (RS)",0.727
"Emilianópolis (SP)",0.727
"Herculândia (SP)",0.727
"Sant'Ana do Livramento (RS)",0.727
"Pirapora do Bom Jesus (SP)",0.727
"Goianésia (GO)",0.727
"Flora Rica (SP)",0.727
"Bandeirantes (PR)",0.727
"Ermo (SC)",0.726
"Pérola D'Oeste (PR)",0.726
"Cachoeira Dourada (MG)",0.726
"Jacutinga (RS)",0.726
"Itapuranga (GO)",0.726
"Castelo (ES)",0.726
"Além Paraíba (MG)",0.726
"Ibiporã (PR)",0.726
"Leopoldina (MG)",0.726
"Ibiraçu (ES)",0.726
"Murutinga do Sul (SP)",0.726
"Nova Guataporanga (SP)",0.726
"Camboriú (SC)",0.726
"São Martinho (RS)",0.726
"Iguape (SP)",0.726
"Munhoz de Melo (PR)",0.726
"Tarabai (SP)",0.726
"Irati (PR)",0.726
"Itumirim (MG)",0.726
"Casimiro de Abreu (RJ)",0.726
"Sapucaia do Sul (RS)",0.726
"Goiatuba (GO)",0.725
"Paulo de Faria (SP)",0.725
"Santa Bárbara do Sul (RS)",0.725
"Matelândia (PR)",0.725
"Guapiaçu (SP)",0.725
"Valparaíso (SP)",0.725
"Alpinópolis (MG)",0.725
"Ponte Preta (RS)",0.725
"Itapaci (GO)",0.725
"Cambira (PR)",0.725
"Ibiam (SC)",0.725
"Santa Cecília do Sul (RS)",0.725
"Sertaneja (PR)",0.725
"São Tomé (PR)",0.725
"Pacaembu (SP)",0.725
"Pontão (RS)",0.725
"Três Rios (RJ)",0.725
"Agrolândia (SC)",0.725
"Vitória Brasil (SP)",0.725
"Clementina (SP)",0.725
"Miraguaí (RS)",0.725
"Carrancas (MG)",0.725
"São Manoel do Paraná (PR)",0.725
"Itapuí (SP)",0.725
"Pará de Minas (MG)",0.725
"Pontal (SP)",0.725
"Ilha Comprida (SP)",0.725
"Garuva (SC)",0.725
"Pinhalzinho (SP)",0.725
"Barrinha (SP)",0.725
"Pitangui (MG)",0.725
"Anhanguera (GO)",0.725
"São José do Sul (RS)",0.725
"Andirá (PR)",0.725
"Loanda (PR)",0.725
"Dois Córregos (SP)",0.725
"Araputanga (MT)",0.725
"Ibiraiaras (RS)",0.724
"Ubá (MG)",0.724
"São João Batista do Glória (MG)",0.724
"Angra dos Reis (RJ)",0.724
"Lupércio (SP)",0.724
"Itirapina (SP)",0.724
"Botuverá (SC)",0.724
"Florestal (MG)",0.724
"Linhares (ES)",0.724
"Indianópolis (PR)",0.724
"Mirante do Paranapanema (SP)",0.724
"Santo Antônio do Monte (MG)",0.724
"Guaíra (PR)",0.724
"Monte Sião (MG)",0.724
"Doutor Ricardo (RS)",0.724
"Douradina (PR)",0.724
"Carvalhópolis (MG)",0.724
"Ronda Alta (RS)",0.724
"Mesópolis (SP)",0.724
"Arapuá (MG)",0.724
"Ivorá (RS)",0.724
"São João da Paraúna (GO)",0.724
"Marcelino Ramos (RS)",0.724
"Paço do Lumiar (MA)",0.724
"Luz (MG)",0.724
"Santa Helena de Goiás (GO)",0.724
"Águas Mornas (SC)",0.723
"Capinópolis (MG)",0.723
"Bom Progresso (RS)",0.723
"Vespasiano Correa (RS)",0.723
"Perdizes (MG)",0.723
"Jaci (SP)",0.723
"Cruzeiro do Sul (RS)",0.723
"Seberi (RS)",0.723
"Gastão Vidigal (SP)",0.723
"Pirajuba (MG)",0.723
"Sertanópolis (PR)",0.723
"Coronel Vivida (PR)",0.723
"Santa Cecília do Pavão (PR)",0.723
"Santo Antônio de Goiás (GO)",0.723
"Peabiru (PR)",0.723
"Pitangueiras (SP)",0.723
"São Francisco (SP)",0.723
"Porto Xavier (RS)",0.723
"Arapoti (PR)",0.723
"Taciba (SP)",0.723
"Erval Velho (SC)",0.723
"Rinópolis (SP)",0.723
"Barra do Rio Azul (RS)",0.723
"Juruaia (MG)",0.723
"Itapagipe (MG)",0.723
"Diamante do Norte (PR)",0.723
"Formosa do Oeste (PR)",0.723
"Panorama (SP)",0.722
"Queluz (SP)",0.722
"Realeza (PR)",0.722
"Iraceminha (SC)",0.722
"Água Limpa (GO)",0.722
"Barão de Cocais (MG)",0.722
"Califórnia (PR)",0.722
"Ouro Fino (MG)",0.722
"Nova Esperança (PR)",0.722
"Cosmorama (SP)",0.722
"Cardoso (SP)",0.722
"Palminópolis (GO)",0.722
"Virmond (PR)",0.722
"Alvinlândia (SP)",0.722
"Engenheiro Paulo de Frontin (RJ)",0.722
"Arco-Íris (SP)",0.722
"Palmares Paulista (SP)",0.722
"Canápolis (MG)",0.722
"São Jorge D'Oeste (PR)",0.722
"Marmeleiro (PR)",0.722
"Trabiju (SP)",0.722
"São Sebastião do Paraíso (MG)",0.722
"Uraí (PR)",0.721
"Marumbi (PR)",0.721
"Cambará (PR)",0.721
"Capão Bonito (SP)",0.721
"Nerópolis (GO)",0.721
"Aparecida D'Oeste (SP)",0.721
"Nova Andradina (MS)",0.721
"Altônia (PR)",0.721
"Glória de Dourados (MS)",0.721
"Martinópolis (SP)",0.721
"Rubiácea (SP)",0.721
"Barreiras (BA)",0.721
"Piracanjuba (GO)",0.721
"Pratinha (MG)",0.721
"Paranaíba (MS)",0.721
"Jaguaruna (SC)",0.721
"Anhembi (SP)",0.721
"Monsenhor Paulo (MG)",0.721
"Kaloré (PR)",0.721
"Giruá (RS)",0.721
"Igrejinha (RS)",0.721
"Ribeirão dos Índios (SP)",0.721
"Santa Rita do Sapucaí (MG)",0.721
"Moema (MG)",0.721
"Vacaria (RS)",0.721
"Piranhas (GO)",0.721
"Cascalho Rico (MG)",0.721
"Lavínia (SP)",0.721
"Maceió (AL)",0.721
"Alegre (ES)",0.721
"Japaraíba (MG)",0.721
"Parisi (SP)",0.721
"Uchoa (SP)",0.721
"Ângulo (PR)",0.721
"Curitibanos (SC)",0.721
"Mossoró (RN)",0.72
"São Bento do Sapucaí (SP)",0.72
"Verê (PR)",0.72
"São Simão (GO)",0.72
"Itapeva (MG)",0.72
"Palmitinho (RS)",0.72
"São João das Duas Pontes (SP)",0.72
"Pouso Redondo (SC)",0.72
"Paracambi (RJ)",0.72
"Fazenda Rio Grande (PR)",0.72
"São Valentim (RS)",0.72
"Matias Barbosa (MG)",0.72
"Faxinal do Soturno (RS)",0.72
"Cananéia (SP)",0.72
"Caconde (SP)",0.72
"Itapura (SP)",0.72
"Pinhal (RS)",0.72
"Boa Esperança (PR)",0.72
"Ourizona (PR)",0.72
"Ivinhema (MS)",0.72
"Inhumas (GO)",0.72
"Passo de Torres (SC)",0.72
"Uniflor (PR)",0.72
"André da Rocha (RS)",0.72
"Campina Grande (PB)",0.72
"Icém (SP)",0.72
"Santa Isabel do Ivaí (PR)",0.72
"Lutécia (SP)",0.72
"Timbé do Sul (SC)",0.72
"Paiva (MG)",0.72
"Alto Horizonte (GO)",0.719
"Celso Ramos (SC)",0.719
"Gavião Peixoto (SP)",0.719
"Ouro Verde de Goiás (GO)",0.719
"Iperó (SP)",0.719
"Guaporema (PR)",0.719
"Rubiataba (GO)",0.719
"Guaraçaí (SP)",0.719
"Itaporanga (SP)",0.719
"Platina (SP)",0.719
"Salmourão (SP)",0.719
"Mamborê (PR)",0.719
"Angatuba (SP)",0.719
"Coroados (SP)",0.719
"São João de Meriti (RJ)",0.719
"Guariba (SP)",0.719
"São José dos Quatro Marcos (MT)",0.719
"Paraibuna (SP)",0.719
"Planalto (SP)",0.719
"Novais (SP)",0.719
"São Mateus do Sul (PR)",0.719
"Dores do Indaiá (MG)",0.719
"Caibaté (RS)",0.719
"Jupiá (SC)",0.719
"Itaberaí (GO)",0.719
"Mombuca (SP)",0.719
"Tramandaí (RS)",0.719
"Cruzaltense (RS)",0.719
"Tupaciguara (MG)",0.719
"Ciríaco (RS)",0.719
"Barão de Cotegipe (RS)",0.719
"Mandaguaçu (PR)",0.718
"Praia Grande (SC)",0.718
"Nova Veneza (GO)",0.718
"Diamantino (MT)",0.718
"Tupandi (RS)",0.718
"Santo Antônio da Platina (PR)",0.718
"Ananindeua (PA)",0.718
"Tombos (MG)",0.718
"Guará (SP)",0.718
"Vargem Bonita (SC)",0.718
"Paial (SC)",0.718
"Araruama (RJ)",0.718
"Mineiros (GO)",0.718
"Cacoal (RO)",0.718
"Aparecida de Goiânia (GO)",0.718
"Itaguaru (GO)",0.718
"Itauçu (GO)",0.718
"Conquista D'Oeste (MT)",0.718
"Santo Antônio de Pádua (RJ)",0.718
"Campina Grande do Sul (PR)",0.718
"Lagamar (MG)",0.718
"Ibiá (MG)",0.718
"Narandiba (SP)",0.718
"Dobrada (SP)",0.718
"Jussara (PR)",0.718
"Cariacica (ES)",0.718
"Jaboti (PR)",0.718
"Três Cachoeiras (RS)",0.718
"Palmeira (PR)",0.718
"Fundão (ES)",0.718
"Mariápolis (SP)",0.718
"Paulistânia (SP)",0.718
"Cidade Gaúcha (PR)",0.718
"Nova Santa Rita (RS)",0.718
"Bom Jesus (SC)",0.718
"Salto do Lontra (PR)",0.718
"Fama (MG)",0.717
"Cruzeiro do Oeste (PR)",0.717
"Borrazópolis (PR)",0.717
"Nova Aliança do Ivaí (PR)",0.717
"Paranapanema (SP)",0.717
"Ponte Nova (MG)",0.717
"Piranguinho (MG)",0.717
"Tigrinhos (SC)",0.717
"Campina do Monte Alegre (SP)",0.717
"Itobi (SP)",0.717
"Getulina (SP)",0.717
"São José do Alegre (MG)",0.717
"Engenho Velho (RS)",0.717
"Juatuba (MG)",0.717
"Ocauçu (SP)",0.717
"Viamão (RS)",0.717
"Paranacity (PR)",0.717
"São Pedro do Ivaí (PR)",0.717
"Jacupiranga (SP)",0.717
"Cidade Ocidental (GO)",0.717
"Guaratuba (PR)",0.717
"Mato Queimado (RS)",0.717
"Guatambú (SC)",0.717
"Eldorado do Sul (RS)",0.717
"Santo Antônio da Patrulha (RS)",0.717
"Jaboatão dos Guararapes (PE)",0.717
"Paula Freitas (PR)",0.717
"Santa Inês (PR)",0.717
"São José do Herval (RS)",0.717
"Goianá (MG)",0.716
"Petrolândia (SC)",0.716
"Júlio Mesquita (SP)",0.716
"Jacinto Machado (SC)",0.716
"Diamantina (MG)",0.716
"Taquaral de Goiás (GO)",0.716
"Paiçandu (PR)",0.716
"Luís Eduardo Magalhães (BA)",0.716
"Manoel Ribas (PR)",0.716
"Matupá (MT)",0.716
"Campos dos Goytacazes (RJ)",0.716
"Doutor Pedrinho (SC)",0.716
"Ribeirão Claro (PR)",0.716
"Juína (MT)",0.716
"Fênix (PR)",0.716
"Bela Vista do Paraíso (PR)",0.716
"Torixoréu (MT)",0.716
"Santo Antônio do Paraíso (PR)",0.716
"Paulo Lopes (SC)",0.716
"Capitão Leônidas Marques (PR)",0.716
"Piedade (SP)",0.716
"Júlio de Castilhos (RS)",0.716
"Ernestina (RS)",0.716
"Balneário Barra do Sul (SC)",0.716
"Bela Vista de Goiás (GO)",0.716
"Nova Prata do Iguaçu (PR)",0.716
"Davinópolis (GO)",0.716
"Putinga (RS)",0.715
"Santa Carmem (MT)",0.715
"Orizona (GO)",0.715
"Arvoredo (SC)",0.715
"Formosa do Sul (SC)",0.715
"Severínia (SP)",0.715
"Rio Brilhante (MS)",0.715
"Morungaba (SP)",0.715
"Flórida Paulista (SP)",0.715
"Itaguaí (RJ)",0.715
"Passa Quatro (MG)",0.715
"Niquelândia (GO)",0.715
"Pinheiral (RJ)",0.715
"Nova Canaã Paulista (SP)",0.715
"Machado (MG)",0.715
"Nova Serrana (MG)",0.715
"Queiroz (SP)",0.715
"Pedregulho (SP)",0.715
"Santa Luzia (MG)",0.715
"Formoso (GO)",0.715
"São Sebastião da Amoreira (PR)",0.715
"Parauapebas (PA)",0.715
"Aguaí (SP)",0.715
"Farol (PR)",0.715
"Quinta do Sol (PR)",0.715
"Paraguaçu (MG)",0.715
"Jacutinga (MG)",0.715
"Pouso Novo (RS)",0.715
"Palmares do Sul (RS)",0.715
"Jaguapitã (PR)",0.715
"São Vicente de Minas (MG)",0.715
"São Gonçalo do Sapucaí (MG)",0.715
"Sobral (CE)",0.714
"Vassouras (RJ)",0.714
"Nantes (SP)",0.714
"Mormaço (RS)",0.714
"Nova Santa Helena (MT)",0.714
"Riqueza (SC)",0.714
"Fátima do Sul (MS)",0.714
"Glorinha (RS)",0.714
"Itaquaquecetuba (SP)",0.714
"Campo Alegre (SC)",0.714
"Avaí (SP)",0.714
"Catanduvas (SC)",0.714
"Santa Teresa (ES)",0.714
"Laranjal (MG)",0.714
"Santa Rita do Araguaia (GO)",0.714
"Juscimeira (MT)",0.714
"Anicuns (GO)",0.714
"Populina (SP)",0.714
"Santo Antônio do Jardim (SP)",0.714
"Alta Floresta (MT)",0.714
"Quatiguá (PR)",0.714
"Terra Roxa (PR)",0.714
"Ji-Paraná (RO)",0.714
"Torre de Pedra (SP)",0.714
"Tapurah (MT)",0.714
"Nova Esperança do Sudoeste (PR)",0.714
"Rio Pomba (MG)",0.714
"Ijaci (MG)",0.714
"Seropédica (RJ)",0.713
"Carmo do Rio Verde (GO)",0.713
"Bom Jesus dos Perdões (SP)",0.713
"Itaí (SP)",0.713
"Itaocara (RJ)",0.713
"Nipoã (SP)",0.713
"Portão (RS)",0.713
"Águas de Chapecó (SC)",0.713
"Crato (CE)",0.713
"Canudos do Vale (RS)",0.713
"São José das Palmeiras (PR)",0.713
"Perobal (PR)",0.713
"Itaqui (RS)",0.713
"Carlópolis (PR)",0.713
"Irapuã (SP)",0.713
"Nova Iguaçu (RJ)",0.713
"Guarantã (SP)",0.713
"Palestina de Goiás (GO)",0.713
"Cruzeiro do Sul (PR)",0.713
"Imbuia (SC)",0.713
"Colíder (MT)",0.713
"Carapebus (RJ)",0.713
"Porto Real (RJ)",0.713
"Itapecerica (MG)",0.713
"Curvelo (MG)",0.713
"Florínia (SP)",0.713
"Miracema (RJ)",0.713
"Presidente Castelo Branco (PR)",0.713
"Santa Fé de Goiás (GO)",0.713
"Cajuru (SP)",0.713
"Rondon (PR)",0.713
"Alto Paraíso de Goiás (GO)",0.713
"Venâncio Aires (RS)",0.712
"Itabuna (BA)",0.712
"Bom Jesus do Oeste (SC)",0.712
"Lindolfo Collor (RS)",0.712
"Vianópolis (GO)",0.712
"Conceição de Macabu (RJ)",0.712
"Santa Vitória do Palmar (RS)",0.712
"Eugênio de Castro (RS)",0.712
"Petrolina de Goiás (GO)",0.712
"Nova Venécia (ES)",0.712
"Alambari (SP)",0.712
"Biritiba-Mirim (SP)",0.712
"Crissiumal (RS)",0.712
"Erebango (RS)",0.712
"Planura (MG)",0.712
"Ribeirão Bonito (SP)",0.712
"Jaguari (RS)",0.712
"Uru (SP)",0.712
"Tapira (MG)",0.712
"Congonhal (MG)",0.712
"Conceição das Alagoas (MG)",0.712
"Japurá (PR)",0.712
"Morro Agudo (SP)",0.712
"Sede Nova (RS)",0.712
"Feira de Santana (BA)",0.712
"Irapuru (SP)",0.712
"Jardim (MS)",0.712
"São Pedro da Aldeia (RJ)",0.712
"Morrinhos do Sul (RS)",0.711
"Rio Novo do Sul (ES)",0.711
"Paulicéia (SP)",0.711
"Vicentina (MS)",0.711
"Barão de Antonina (SP)",0.711
"Paranaiguara (GO)",0.711
"Campo Belo (MG)",0.711
"Jaborandi (SP)",0.711
"Piquerobi (SP)",0.711
"Ribeirão Corrente (SP)",0.711
"Alcinópolis (MS)",0.711
"Sapiranga (RS)",0.711
"Cezarina (GO)",0.711
"Israelândia (GO)",0.711
"Igaratá (SP)",0.711
"Medeiros (MG)",0.711
"Lambari (MG)",0.711
"Varjão de Minas (MG)",0.711
"Chiador (MG)",0.711
"Missal (PR)",0.711
"Duque de Caxias (RJ)",0.711
"Barracão (RS)",0.71
"Pinheirinho do Vale (RS)",0.71
"Novo Itacolomi (PR)",0.71
"Marechal Floriano (ES)",0.71
"Timburi (SP)",0.71
"Nazário (GO)",0.71
"Witmarsum (SC)",0.71
"Glória D'Oeste (MT)",0.71
"Brejo Alegre (SP)",0.71
"Pimenta Bueno (RO)",0.71
"Santa Vitória (MG)",0.71
"Lima Duarte (MG)",0.71
"Buriti Alegre (GO)",0.71
"Três Coroas (RS)",0.71
"Lupionópolis (PR)",0.71
"Itanhangá (MT)",0.71
"Paulo Bento (RS)",0.71
"Ibiúna (SP)",0.71
"Ibaiti (PR)",0.71
"Nova Olímpia (PR)",0.71
"São Miguel da Boa Vista (SC)",0.71
"Apiaí (SP)",0.71
"São Miguel Arcanjo (SP)",0.71
"Alfredo Chaves (ES)",0.71
"Quarto Centenário (PR)",0.71
"Rio Bonito (RJ)",0.71
"Colômbia (SP)",0.71
"Prado Ferreira (PR)",0.71
"Limeira do Oeste (MG)",0.71
"Monteiro Lobato (SP)",0.71
"Monte Santo de Minas (MG)",0.71
"Terra Rica (PR)",0.71
"Pouso Alto (MG)",0.71
"Carmo do Cajuru (MG)",0.71
"Leandro Ferreira (MG)",0.71
"Estrela Dalva (MG)",0.71
"Santa Cruz de Monte Castelo (PR)",0.71
"Caicó (RN)",0.71
"Cachoeira Alta (GO)",0.71
"Pitangueiras (PR)",0.71
"Capitólio (MG)",0.71
"Bataguassu (MS)",0.71
"Taiaçu (SP)",0.71
"Ouro Verde do Oeste (PR)",0.709
"Tupanciretã (RS)",0.709
"Juquitiba (SP)",0.709
"Cantagalo (RJ)",0.709
"Sandovalina (SP)",0.709
"Cláudio (MG)",0.709
"Saquarema (RJ)",0.709
"Goiás (GO)",0.709
"Nova Era (MG)",0.709
"Magé (RJ)",0.709
"Ampére (PR)",0.709
"Serra do Navio (AP)",0.709
"Visconde do Rio Branco (MG)",0.709
"São Pedro do Sul (RS)",0.709
"Rio Paranaíba (MG)",0.709
"Dom Silvério (MG)",0.709
"Silvânia (GO)",0.709
"Paranapoema (PR)",0.709
"Rio Negro (MS)",0.709
"São Gabriel da Palha (ES)",0.709
"Campanha (MG)",0.709
"Gália (SP)",0.709
"Nossa Senhora das Graças (PR)",0.709
"Jardinópolis (SC)",0.709
"Taguaí (SP)",0.709
"Pirapetinga (MG)",0.709
"Cruzeiro do Iguaçu (PR)",0.709
"São Sepé (RS)",0.708
"Campos Borges (RS)",0.708
"Ibirarema (SP)",0.708
"Piraí do Sul (PR)",0.708
"Flor do Sertão (SC)",0.708
"Paulo Frontin (PR)",0.708
"Piraí (RJ)",0.708
"Romaria (MG)",0.708
"São José de Ribamar (MA)",0.708
"Tenente Portela (RS)",0.708
"Coromandel (MG)",0.708
"Ibicaré (SC)",0.708
"Crixás (GO)",0.708
"Cáceres (MT)",0.708
"Jateí (MS)",0.708
"Juranda (PR)",0.708
"Abadia de Goiás (GO)",0.708
"Alvorada (TO)",0.708
"Mallet (PR)",0.708
"Conchal (SP)",0.708
"Madre de Deus (BA)",0.708
"Araporã (MG)",0.708
"Alvorada do Sul (PR)",0.708
